nama,area,rating,deskripsi,reviews,place_id,sentiment
Nasi Akwang Taman Palem,Cengkareng,4.0,,"sudah beberapa kali pesan untuk dibungkus, tetapi tidak sesuai pesanan  pegawai nya tidak memperhatikan dan terlalu banyak ngobrol & bercanda",ChIJa4wm3P_3aS4RxyS8evqCPhw,negative
WARUNG MAKAN SEDERHANA IBU IJAH,Kembangan,5.0,,Kenyang sambel enak,ChIJX_VK4k_3aS4RZdUVmfmEpk4,positive
Warung Sego Pecel Mbak Lastri,Pondok Kopi,5.0,,"Gak salah jauh-jauh dari Cikarang makan disini sekalian main ke gg. Masjid ke daerah masa remaja dulu. Saya makan nasi pecel lengkap sudah ada peyek dan tempe goreng tepung, bumbu pecel terlalu banjir tapi enak (bisa bilang jangan banjir) Sate urutan, Paru2, bakwan jagung, bakwan udang rekomen. Nasi urap juga enak cenderung manis, botok enak lebih mantap kalau ada lamtoronya. Untuk harga murah makan berdua habis 50rban sudah sama minum es teh manis.",ChIJt6LkvsGMaS4R0jZkKbghefo,positive
New San Thao,Kebon Jeruk,3.0,,"Update: Kemarin balik lagi setelah dikasih diskon 50% sebagai ucapan minta maaf atas keterlambatan makanan keluar & insiden jarum 2 bulan lalu. Nyoba beberapa menu lain yg lebih berasa dibanding sebelumnya. Ayam goreng madunya lumayan tapi agak terlalu manis. Gurame asem manis nya jg oke. Udang goreng mayo nya kali ini garing bgt, tapi lindungnya ttp enak.  Makanannya keluar jauh lebih cepet dari pengalaman sebelumnya, tapi servisnya masih rada mengecewakan; seringkali mesti nanya 2-3 kali untuk sesuatu sblm dikerjakan, sempet dpt alat makan yg kurang bersih, dan overall terasa koordinasi/komunikasi antar staff agak chaos.  _____________________________________ Makanannya lamaaaaa banget keluarnya. Duduk jam 1, pesen 6 item makanan jam 1:15, makanan baru keluar 1 item satu jam kemudian. Semua makanan baru keluar jam 2.45. Pas ditanya katanya yang masak cuman 2 orang, padahal restonya lg full.  Makanannya biasa aja. Nasi goreng merah & Hokian Lomie Bagan nya sedikit hambar. Gurame Tahu Tausi & Udang Goreng Mayonya standard. Yang paling oke Lindung Cah Fumak.",ChIJxWC3RQ73aS4RtN0GeN51A0w,neutral
Sop Buntut H Soedik,Sunter,4.0,Restoran masakan lokal berdinding bata terlihat & berdekorasi kayu gelap dengan menu utama sup buntut.,Tempatnya tepat di pinggir jalan di pengkolan Parkiran spacious. Ambiencenya jadul dan remang2.  Pembayaran hanya dg tunai atau transfer.  Beli sop buntut goreng. Enak lembut. Untuk kuah lebih cenderung gurih garam. Overall memang enak akan tetapi menurut saya cukup overpriced.  Satenya lembut akan tetapi bukan yg terbaik.  Pilihan menunya memang sedikit karena specialtynya di sop buntut.,ChIJN1X7V3z1aS4RvIuiFhZxCfw,positive
DAPOER WISNU & RAYHAN,Kalideres,5.0,,"Tempat Makan Mur Mer, Enak...!!!",ChIJ0yg-k5wDai4R-RAyU9laeG8,positive
Bungkushin x Tjerita Manis x KariKami Goldfinch,Menteng,4.0,,"Baru sempat nyobain nasi kari yg viral ini. Here's my two cents :)  Pros : 1. Nasi Kari Ayam dan Sapi nya tidak salah lagi, memang TOP. Kari nya kental dan tasty, ayam dan sapi nya juga empuk dan juicy 2. Tempat cozy untuk bawa keluarga dan anak2  Cons: 1. Minta kuah kari dipisah, katanya gak bisa. Hitungannya kena charge ekstra kuah 2. Dikasih sambal seiprit, mau minta nambah juga kena ekstra charge 3. Musik dalam resto terlalu keras 4. Tanaman artificial di atas meja berupa tabung tipis sangat mengganggu. Tidak menambah estetika malah sangat mengganggu 5. Hanya menerima pembayaran cash dan debit. CC tidak diterima di resto ini",ChIJw7ZzDaT9aS4RfA8vHiUdTIQ,positive
Mayo Resto,Pancoran,4.0,Restoran simpel bernuansa santai yang menyajikan hidangan tradisional Indonesia bergaya rumahan.,Tempat nya bersih dan nyaman cocok banget buat bawa Sama keluarga kumpul tempat nya dan suasa nya kaya desa bngett dah masakan juga has yoroboyo sukses trus buat mayo,ChIJVY4TqZfzaS4RzyY4w0XUsWg,positive
Warung Nasi Sopo Nyono,Kuningan,5.0,,Bisa pesan antar dan orangnya ramah,ChIJmXQ6s9_zaS4RftzA7k-Z3nY,positive
Rumah Makan Cahaya Baru Masakan Padang,Pancoran,5.0,,Tempatnya bersih,ChIJG47GpArzaS4R6-dRYAb2K5Q,positive
Warung Empal Gentong KEPRABON,Pulo Gadung,5.0,,"Makanan nya enak, porsi nya pas Empal nya besar2 ga pelit lagi, empuk juga dia pakai kucai, bukan sledri  Layanan nya, bapak ibu nya ramah",ChIJObgr1bv0aS4RrW7z90giBB8,positive
Rumah Makan Sahabat Baru,Cakung,5.0,,"udanya frenly, nasi dibanyakin mulu, enak.. Padang banget",ChIJV9Vbnu-NaS4R-Jl2N-pCILY,positive
GOOD FOLKS,Menteng,2.0,,"Datang kisaran jam 12.30. Gak terlalu full di jam makan siang. Masih ada beberapa eja yg kosong. Tp kayanya agak hectic di kitchen. Suka sama suasana cafe nya. Di outdoor juga adem banget. Kopi arennya enak. Yg aku pesen soto jakarta. To be honest sotonya agak asin dengan kuah yg cukup thick. Okelah di akalin pake lime and sambel. ini soto pake brisket nah dagingnya chewy banget. Susah di kunyah. Di potongan kedua agak gak bisa ketelen, tapi ku paksa. Dan ada nasi putih yg kering, so sad. Bikin hilang selera makan gak lanjut ku makan. Masih sisa banyak sekali sesuai di foto. Ketika di rapihin table nya udah di sampaikan sih ke waitress. Semoga ada improvement.",ChIJe_2gFFX1aS4RGwGjrMdnoV0,negative
Warteg Dewi,Koja,4.0,,"Baru makan di sini, mantap lele goreng kremes nya",ChIJAemUP-Mfai4R6KZVx6OQ-Ps,positive
Pungbu Korean BBQ,Pesanggrahan,5.0,,Ambience nya bagus berasa lagi dikoreaaa. order premium kotsal galbi enak banget banget manis guriih masih kebayang sama rasanya sampe sekarang😭 supnya oke buat sharing bareng keluarga. Restonya recomended banget! Wajib balik lagi sih ini,ChIJzWdkPwfxaS4RiYAappza5FA,positive
Sambal dan lalapan cundamanik,Kuningan,5.0,,"Baru nyoba makan di sini enak banget sambel nya juara, pelayanan nya jugaa oke",ChIJ1XyePzvzaS4RtCnhNYZgLjo,positive
Asap Sambal 'Sei Sapi' - Tanjung Duren,Grogol,5.0,,"Resto yang lebih membuat saya yakin bahwa Sei Sapi > BPK🫡🫡 . Cocok bangett kebetulan pesan yang Super dan kualitas dagingnya mantul! Sambelnya pula tasty dan ga terlalu pedes, cocok untuk semua kalangan lah ini! Ke tanjung duren janlup kesini yak!🥶",ChIJG3eaiDL3aS4Rm-0p56MZEZk,positive
Rm. Batavia Minang,Pluit,5.0,,"Pegawainya gercep.makanan enak harga murah. Hahahahaha Yap benar sekali klo kalian datang makan siang siap2 saja ngantri ya. Rasa makanan padang di sini untuk harga standard lumayan enak, saya biasa pesan ati ampela pedas beserta krupuk kulit siram. Bisa bayar pakai qris. Untuk parkir mobil aga susah . Parkir motor tersedia banyak",ChIJB9bC6Pgdai4RDe1KzJkak44,positive
Rm Makassar,Tanjung Priok,4.0,,"areanya mudah di lihat karena posisi di depan jalan. hanya tak ada parkir mobil, jadi harus parkir di alfamidi samping RM makasar",ChIJOfHFe8Ifai4RjWSmOEPu_1g,neutral
Soto Betawi Nyonya Afung Pesanggrahan,Kembangan,5.0,,"Soto Betawi banyak yang enak di Jakarta ini, memang favorit makanan dari kecil juga. Tapi soto betawi enak yang tempat nya paling nyaman saya rasa di Ny Afung ini. Cukup banyak pilihan isinya, saya biasa pesan paru urat. Ada soto mie juga disini. Yang menarik bisa pesan acar bawang merah yang enak dengan harga cukup murah.",ChIJf3PV0vj3aS4R1t39D0dol2M,positive
Warung Bu Ngantuk Mangga Besar,Sawah Besar,5.0,,"Kuliner Legend, makanan enak, harga tinggi, porsi banyak. Dulu buka jam 1 pagi sekarang buka jam 8.30 malam depan cucu salon.",ChIJw5xR4An2aS4Ryrg6rZgqM8Q,positive
RM MANDALA,Tanah Abang,5.0,,Cukup enak baik & bersih tempatnya.,ChIJve-ZGzX3aS4RxUXEIK3vwV8,positive
Saka Coffee Roasters,Cijantung,4.0,,"Tolong adminnya lebih teliti lg, saya udh reservasi dan langsung bayar deposit h-5. Tiba” pas dateng ke tempat, saya gak ada dilist reservasinya Untung tertolong makanannya enak” ya, dan gercep langsung bikin meja cadangan dan untung makanan kita juga gak telat. Walaupun saya ber6, tp mejanya dapet buat ber4 org. Padahal bilangnya mau ditambahin, tp sampe selesai gak ditambahin juga Tolong diperhatikan lg, karna klo org lain datengnya telat dan makanan dan tempatnya gak ada. Tp mereka mau buka puasa, kan kasian harus nunggu",ChIJ0c--lYbtaS4REoM7CNV5uvc,positive
Rempah Sunda Kuningan City Mall,Kuningan,5.0,,"Suka suasananya, pelayanan cepat. Makanan masih terasa fresh. Saya pesan ayam taliwang, tidak terlalu pedas, agak kering ayamnya tapi masih enak. Untuk minuman saya pesan kunyit asem. Di infused on the spot dengan air mendidih. Sangat segar dan bisa di refill.",ChIJj749dgDzaS4RBqr7SV2_Xrs,positive
Resto Ayam Uleg / waroengku Ayam Uleg,Sunter,3.0,,"Makanan nya enak, udh sering makan disini tpi sayang pelayanan mba"" nya aga judes ya, orang masih makan lampu udh dimati""in. Saran aja si klo emng dirasa waktunya udh gabisa buat makan ditmpt tinggal bilang aja bisanya di takeaway, jngn org lagi makan dipertengahan lampu dimati""in, bikin gaenak makan, saya dtng juga masih setengah 9an itu juga karna saya&kluarga sepulang taraweh dulu baru Dateng kesana. Intinya sopan aja si buat mba""nya yg matiin lampu",ChIJxVo2FAkfai4Rz5Y2h4Ef_Ic,neutral
Golden Palace,Tanah Abang,5.0,,Makananya enak² sukaaaaaaaa 😍,ChIJVV3Stb32aS4R1AztkHcrGjw,positive
Warung AA,Palmerah,1.0,,Lambat,ChIJR6mqQ8L2aS4RXMOhEOysr-g,negative
ENSHO,Sudirman SCBD,5.0,,"It was a great dining experience! Semua staffnya friendly & great service, suasananya nyaman banget, shabushabu nya enak & punya clean taste, dagingnya lembut banget gausa ditanya lagi! side dish fav aku sih salmon cheese stick! must try!!",ChIJlagg6uHxaS4R9JOaVQwup2w,positive
Rumah makan Padang Berkah Jaya,Senen,4.0,,"Lokasi strategis di Jl Salemba, tidak tersedia area parkir mobil, area makan tidak terlalu besar namun cukup bersih, pilian menu beragam, pelayanan baik, cepat & ramah, harga murah (nasi +rendang + teh tawar rp 18k), rasa enak",ChIJSYtX5A31aS4R5H_Y19nQlII,positive
Mattea Social Space - Cempaka Putih,Johar Baru,5.0,,"Beneran sekali liat tempatnya langsung suka. Ini beneran perpaduan tempat nongkrong sam tempat bikin tugas. Suasananya nyaman, ngga berisik dan colokan listrik bertebaran banyak banget. Jadi pas kalau mau kerja atau sekedar nongkrong aja. Cobain hot latte sama matcha lattenya memang enak.",ChIJadN7g3v1aS4R2nXcwychnkc,positive
Warung Monggo Mampir,Johar Baru,1.0,,"Pas gak terlalu rame, nunggu makanan order by QR di Meja bisa nunggu lama banget.",ChIJizglrQf1aS4RyX1XCPnke_o,negative
Abuba Steak - Citra Garden,Kalideres,5.0,,"Abuba memang top untuk kualitas steak nya. Dan pelayanan disini mantap. Saya ketinggalan kunyit seplastik, eh sebulan kemudian makan lagi disini dikembalikan dan pramusaji ingat sama saya wkwwkk.  Mantap.  Ssst di foto saya tambahkan kunyit. Rasanya makin enak mantap.",ChIJL3gSdboCai4RrX8Ugq8C6xw,positive
Warung Sunda E'Ceu Kokom,Senayan,1.0,,Datang bersama team lunch sekitar 16 orang. Bill 2jutaan gak sebanding dgn service nya. Buruk sekali. Makanan lama banget dan datangnya satu2. Terus banyak yg keliru tidak sesuai pesanan. Minum baru disajikan pas udah kelar mkn itu juga krn kita minta berkali2. Waiters dipanggil2 gak atau pura2 gak dengar. Complain via wa tidak ada respon.,ChIJi3dksiz3aS4R1pj7_o4FhhU,negative
Kedai Rasea Tebet,Tebet,1.0,,"Harga mahal kualitas ga bgt, roti keju daleman masih keras pake keju murah bener2 keju tok ga pke susu ,,roti bangka ga begini kualitas nya, harga satuan diabngka 4000 aja udah sgt2 enak mewah bgt pake susu, JANGAN BAWA2 nama daerah gue BANGKA,, ga pantes",ChIJlXtYJWDzaS4RpLlMW-h9oEM,negative
"Rainbow Restaurant, Beer, and Karaoke",Cengkareng,5.0,,Sekarang berubah nama jadi MUSTIKA SEAFOOD,ChIJH40FCxsdai4RViq0PxZiuw4,neutral
Pandawa Lima,Daan Mogot,5.0,,"Semua makanan di menunya bener2 enak, terutama Ikan Woku nya. My go-to restaurant klo orang rumah lg gak masak, tp pengen comfort food dgn harga bersahabat. Fyi, yg bersahabat bukan hanya harganya loh, tp ownernya jg. Bener2 top notch service in terms of every aspect for a personal business. Sukses selalu, Kak, salam dr salah satu pengemar di daerah Kedoya :)",ChIJFVGxqJP3aS4RBVUndrQ9ivo,positive
Pondok Makan Selera,Kramat Jati,4.0,,ayam bakarnya enak,ChIJx40r7_ryaS4REKqfpSasxfA,positive
Wancan - Hainan Chicken Rice,Cilandak,5.0,Restoran China kecil yang menyajikan hidangan khas Hainan tradisional di tempat simpel.,"Kasir merangkap jadi koki juga , hanya ada 2 staff Ruangan berAC tapi tidak dingin ... Untuk makanan menu nya sedikit , untuk nasi Hainan tidak terlalu strong rasanya ... Tapi okelah",ChIJWYao3NDxaS4Rn0vkLXfdMWg,negative
Sate Solo Minto Redjo Kelapa Gading,Pulo Gadung,4.0,,"Datang pas jam makan siang Utk bawa mobil agak sulit mendapatkan parkir Dari segi tempat ga cukup luas tapi bisa buat ramean (ada lantai 2 juga) Pas kesana pesan : tongseng bakar, tongeng kuah, mie goreng sapi, nasi kebuli dan sate sapi Untuk rasa makanan tongsng nya mirip tengkleng harus nya (agak kentel berempah gt) Tongseng bakar lebih kental kuah nya Mie goreng nya ok, banyak porsi nya, dapat telor ceplok dan kerupuk udang Nasi kebuli rasa nya ok, cuma warna nya agak lebih coklat dibanding kebuli yg biasa dimakan. Pelayanan nya ok, ibu nya juga ramah ☺️ Oh ya disini pilihan menunya beragam bisa sapi, kambing atau ayam.",ChIJpeqMMN_1aS4RZm2xwaMvRCE,neutral
Warung Makan Mahardika Rawamangun,Pulo Gadung,5.0,,"Bersih, bisa bayar dengan Qris, siap dari pagi hari",ChIJ3bjaQOX1aS4RkUJSNwoI1fk,positive
Warteg Oji Jaya As Zahra,Cempaka Putih,5.0,,"Masakan nya enak nih kayak masakan rumahan, tapi tolong bang oji etalasenya di kasih hordeng kecil soalnya saya pas makan liat lalet 1 terbang² di dalem etalase nya",ChIJBcULdrL1aS4R9-W6awuBijc,positive
Nasi Gandul Bu Endang,Kebon Jeruk,5.0,Restoran simpel bernuansa minimalis yang menyajikan masakan Jawa sehari-hari.,"Rasanya authentic jawa tengah, pantes aja banyak artis yg pernah makan ke sini. Semoga ke depannya buka banyak cabang, asalkan kualitasnya tetep dijaga. Baru cobain nasi gandulnya, masih penasaran dgn menu lainnya. Nasi gandulnya gurih manis, porsinya pas, gak terlalu dikit, tinggal tambah side dish aja kalo masih kurang kenyang. Pelayanan cukup cepat, cuma sayang vibes makannya perlu di renov (kurang oke). Parkirnya berbayar di pinggir jalan.",ChIJFadL0xH3aS4R7wKd-pwh30U,positive
Warung Sate Tongseng Kambing Restu Ibu,Ciracas,5.0,,Mantapp,ChIJd39Zxt7taS4R79MPuVeUoJA,positive
Warung Ibu Yati,Pasar Minggu,4.0,,Ini gado2 dr jaman smp harga masih 7rebu sampe sekarang 15rb tetep enak si.... Tp kalo beli disini harus siap ngantri...,ChIJb2SE4m7yaS4R6FI1oECe6tE,positive
Yello Cafe Taman Kuningan Mulya Jakarta,Epicentrum Kuningan,4.0,,"Makanan nikmat dengan harga bersahabat, dekat dengan perkantoran di area Kuningan Mulia ini cocok dengan selera dan kantong anak kantoran. Disajikan dengan plating ala restoran. Wajib untuk dicoba jika berkantor atau lewat sekitaran Kuningan Mulia.",ChIJdZg1k171aS4RQKaOeRyN-Sc,positive
Resto Salemba 43 - Hakka Chinese Food Sunter & Bubur ( Bakmi Salemba 43 ),Sunter,4.0,,"Sesuana khas oriental, porsi lumayan besar, harga relatif, service gercep, sayang rasa kurang mantap. Tapi yg mantep tahu nya...semoga diperbaiki kedepannya.",ChIJ3eDI7AP1aS4RCaHhvqdAG_8,neutral
Juju Restaurant Chinese Food,Kemayoran,5.0,,"Nasi Goreng Seafood sungguh terbaik sepademangan. 14 Tahun lalu kesini, rasanya masih enak dan begitu memberi kesan nostalgia pada kenangan masa lalu. Rasa gurih kecap ikannya, minyak ada rasa bawang hijaunya. Duh ga mampu saya deskripsikan dengan kata kata. Enak, harus nikmatin langsung.",ChIJJ1co6oz1aS4REKscCvvnQX4,positive
Osaka Food Indogrosir Kemayoran,Kemayoran,5.0,,Rasa mewah.. harga sesuai... porsi mantab,ChIJtxAGDNr1aS4Ra5BR_J7JpU8,positive
PHUKET Citra,Kalideres,5.0,,Rasa tomyum nya gak pernah berubah selalu enak. Udah cobain semua menu disini paling suka sama tomyun nyaa. ❤️❤️,ChIJN4HLjLkCai4RFTN5T_4l6qI,positive
Warung Tekko,Kuningan,5.0,Kafe untuk keluarga dengan hidangan Indonesia populer seperti sate & bakso di tempat keren berlampu lentera.,"Rumah Makan Masakan Indonesia yang Comfort Food . Tempat dine in luas ada indoor dan outdoor. Pelayanan ramah dan cepat. Kesini kebetulan memang untuk ganjal perut saja jadi cuman pesan Ketoprak dan Kopi. Untuk harga sedikit pricey tapi masih oke. Rasa juga aman, semua orang pasti cocok. Cabangnya juga ada banyak di Jakarta, jadi boleh dicoba sendiri 👍",ChIJpYnN1vbzaS4RW3DJImwnQKk,positive
Kedai Nyokap Gw,Jagakarsa,3.0,,Tempatnya kaya pangkalan ormas... karaokean dangdutnya bikin pusing,ChIJQQvPqYztaS4RkPWTYZdiTpA,negative
Warung Tekko Kelapa Gading,Kelapa Gading,5.0,,Jamur crispy nya enaaaak banget. Ikan asam manis nya juara. Tempatnya juga nyaman cocok untuk lunch dan kumpul bareng bestie. Harganya juga terjangkau.,ChIJvRyCxS_1aS4RP3TopQhbiL8,positive
Sate Padang H. Ajo Manih,Pulo Gadung,5.0,"Tempat makan simpel yang nyaman, menyajikan sate Padang & kuliner kaki lima lainnya hingga larut malam.","Sate Padang dengan aneka pilihan. Daging, usus, lidah,jantung. Kita bisa order sesuai selera. Lumayan banyak dan besar potongan dagingnya. Bumbu rempah nikmat. Kursi tempat duduk cukup banyak Dan ada parkir untuk motor. Untuk Mobil perlu trik sedikit karena parkir agsk di tengah jalan. Bisa order untuk dibungkus. sedaaap",ChIJg8n6zJX0aS4RO4MjqitNM7I,positive
Rumah Makan Maharani (Prasmanan Khas Sulawesi),Sawah Besar,5.0,,"Kata yg jaga, RM ini blm lama buka. Sebagai RM yg ngambil kuliner dgn menu khas sulawesi (meskipun ada beberapa masakan yg biasa ditemui di warteg), RM ini layak masuk dlm dftar kunjungan. Rasa khas rempah bumbunya lumayan. Harga juga terjangkau.",ChIJJyPr-0H1aS4R_PPsimu7-cs,positive
Tinggal Makan Aja,Tanjung Priok,5.0,,Mantap,ChIJrRJVCskfai4RjpL6N6iBd9s,positive
Warung Tekko Kelapa Gading,Kelapa Gading,5.0,,Tempatnya cozy banget. Pelayanannya ramah. Cocok banget buat nongkrong bareng bestie. Makanannya enak2 banget.,ChIJvRyCxS_1aS4RP3TopQhbiL8,positive
Nasi Dower Kemayoran & Waroeng Garuda,Kemayoran,5.0,,"Tempat nyaman Harga terjangkau Makanannya enak2 apalagi bebeknya bumbu meresap sampai kedalam, dan empuk .. Pelayanan sangat ramah  Thanks",ChIJ9aIda2b1aS4R3COOzTMauIM,positive
Restoran Sederhana Padang,Tanah Abang,5.0,,"Dpt kremesan dan kuah rendang walau aku pesan dendeng basah bukan rendang. Dendengnya lembut. Sambalnya gak bikin panik kepedesan. Jadinya enak di mulut, enak di perut ❣️ o iya toiletnya bersih!",ChIJEe4_NyT0aS4RwzzMobtiFMs,positive
Sumber Bistro Bakmie Seafood,Koja,5.0,,Bakmi goreng ayam nya legend deh.. sedap banget.. thanks ya koh alvin free delivery nya ! hehe..,ChIJW4Pmge0fai4R7yPEZUWq3NQ,positive
FGH RESTO,Klender,5.0,,"Mantaaap,ramah orangnya",ChIJ2QV970qNaS4RRRCcAghp7eI,positive
Rumah Makan Karya Bundo,Sunter,1.0,,"asin, penjualnya galak, kalau makan ditempat porsinya jauh lebih dikit dari warung lainnnya.",ChIJI-8F8Nb1aS4RhpMl6nGGce0,negative
Warung Sunda Neng Chacia,Kembangan,5.0,,"Alhamdulillah beli makanan Ahad 9 Juli 2023. Qodarullah pihak Warung lupa memasukkan ikan nila goreng ke plastik saya. Sampai rumah tidak ada. Saya search di Google, ketemu. Hubungi pihak warung, Alhamdulillah direspon dengan amat baik & makanan saya diantarkan sampai rumah. Alhamdulillah rasanya enak & mau special order tidak pedas sama sekali karena kami tidak suka pedas.",ChIJR8KWg0b3aS4RIGxHs2asTbY,positive
RM BERASTAGI CILILITAN,Kramat Jati,5.0,,Sungguh lezat,ChIJ_emiAgDzaS4Rtr0y9QpnFlQ,positive
Seribu Rasa Menteng,Menteng,5.0,,Dapat undangan untuk makan fancy lunch disini. Uda tahu bakalan menarik karena menu nya tergolong oke Dan Indonesian food menjadi andalan. Yang dipesen sop buntut sapi lads hitam kakap asem manis. Semuanya enak. Minumannya harga cukup mahal jadi buat kaum mendang mending sebaiknya melipir dl. Siap in budget aga lebihan ya. Tp ke bayar dgn suasana resto tempatnya bagus Dan mewah..  Appetizer nya Ada lumpia udang juga mantap. Kayanya menu nya enak smua ga Ada yg gagal. Ma kasih 1000rasa sudah menjual Indonesian food elevated.,ChIJR2I0yCX0aS4RnsVGtM67WiI,positive
Pondok makan 96 seafood,Pondok Kopi,5.0,,"Makanan ya enak, layanan ya cepat dn suasana ya yaman",ChIJ5VNPioaNaS4RZiJAXv-CHIs,positive
SHSD Sambel Hejo Sambel Dadak Tebet,Tebet,4.0,Menyediakan pilihan makanan otentik ala Sunda dan paket nasi. Interior bernuansa tradisional Indonesia.,"Seru-seru untuk varian masakannya dan tempatnya juga bersih. Untuk rasa tergolong aman & cocok untuk lidah Jakarta, tapi belum yang istimewa. Paten!",ChIJgza2qpvzaS4RAIV7dZago2U,neutral
RM Kota Buana,Pondok Kopi,4.0,,"Tempatnya persis di pinggir jalan dan tidak terlalu besar. Parkiran kecil.  Makanan cukup komplit (otak dan belut), begitupun dengan aneka kerupuknya. sayang tidak ada emping.  Bumbunya meresap.",ChIJsw8uQsKMaS4RqVhUGavvpSE,positive
Sea Food 57 Cak Mul,Matraman,5.0,,Ayam saus padang nya recomended 👍🏼,ChIJde5qGeX1aS4Rx8oGMR-5Nag,positive
''warindo'' (warung Makan Indonesia),Pasar Rebo,5.0,,"Di sebelah warindo ada"" HENNY KITCHEN "" SOMAY AND DIMSUM NYA JUARA BANGET RASANYA THE BEST BEST BEST!! Kopi olahan barista HENY KITCHEN juga ga kalah juara rasanya! Nyesel kl ga mampir!!",ChIJi5jVWq3taS4RjDh0QtP_QBk,positive
Roku-Roku Japanese Food,Cilandak,3.0,,"Bintang 3 bukan 1 karena harganya masi sangat terjangkau kebantu banget lah karena harganya ramah dikantong.  Gorenganny sangat menggugah selera saat dilihat tapi tidak saat si rasakan hihi!!  Tapi untuk menu curry nya boleh lah dicoba, bumbu currynya enak dan wangi!  Teriyakinya not bad tpi harus pake nasi krena beneran asin cuy!  Total pesenan ku hanya 126.000  Rame pol nunggu nya mayan tapi tempat duduknya lumayan banyak jadi masih aman lah.",ChIJFV2LW-rxaS4R6dtR33fY3sg,neutral
You Coffee and Resto,Jagakarsa,5.0,Kopi khas & menu internasional kelas atas yang disajikan di resto trendi dua tingkat.,"Saya ke sini sama satu tim, seru banget bisa makan barengan apalagi menu sunda-sundaan gini, sayangnya waktu itu gak kebagian cabe gendot. Padahal penasaran banget. Es cendolnya juga enak. Tampatnya luas banyak pilihan area tempat duduk, ada di lantai 1 dan di lantai 2. Tapi sayangnya untuk musolanya terlalu kecil.",ChIJtVZLOR_vaS4RIMEiNHuE1gQ,positive
Graffiti Restaurant,Fatmawati,5.0,Kafe kontemporer yang sejuk dengan dekorasi unik & teras yang menyajikan masakan Indonesia & Barat berkelas.,"makan siang di restaurant memperingat HuT Oma yg ke 88, service terbaik, buffet lunch variatif dan enaaak semua special daging2annya pokoknya terbaik. vibe dekorasi juga uniq dan dinamis. terima kasih teman2 Graffiti resto Mba Ngesti, Mba Intan, Mas Agung, Mas Rehan dan Mas Adi juga Mba Sinta. sukses terus",ChIJDSDnLtDxaS4RkH7Y_CpzryQ,positive
Two Brothers Billiard and Cafe,Cibubur,5.0,,"Tempatnya sangat terawat, meja biliar dan peralatannya semua dalam kondisi prima. Suasananya hidup tapi tetap nyaman untuk fokus bermain. Pilihan minuman dan camilannya juga oke. Musiknya pas, staff nya juga ramah"" murah senyum pokonya the best. pencahayaannya nyaman, dan yang paling penting, meja-meja biliar dan tongkatnya terawat dengan baik. Harganya juga terjangkau. Highly recommended!",ChIJXQ_Gu_CTaS4RsFrDFJG6CmY,positive
Shinji Izakaya Kelapa Gading,Kelapa Gading Barat,4.0,,"Baru banget abis makan dari sana, overall tempatnya nyaman, Makanannya yg kita pesen tori katsu don + salmon mentai roll + dessert : matcha lava cake. Untuk makanannya enak tapi dessertnyaaa :( untuk harga segitu kayaknya ini kurang worth it : rasa biasa aja, kecil, es krim secuil banget :(",ChIJLwTdFzr1aS4RgdMtB7gfaR8,negative
RAMLI seafood,Pasar Rebo,5.0,,"Mantaplah pokoke, kgak bakalan kecewa makan dimari. Joss",ChIJS8j8ewDtaS4Raj5tOM51LIU,positive
Lovely Cafe,Penjaringan,5.0,,"Tempatnya nyaman, bersih Pelayanannya juga oke, ramah ramah Banyak disc untuk beer dan makanan lainnya. Recomend banget buat yang gabut mau nongkrong cari tempat yang asik disekitar jakut. Bisa buat bikin acara ultah dll juga lagi di sini.",ChIJ044pgswdai4RHrU4lr5PLpM,positive
Lesehan Sambal 69,Pesanggrahan,5.0,,"Awalnya coba coba, pas dicobain enak semua sambelnya juaraa, yang suka pedesss merapatt yaaaa dijamin Nagihh, es teh manisnya jg enak kaya nostalgia ke jogja wkwkkwkw",ChIJJ9xaMQDxaS4R4MpM18M_cn0,positive
RM Tiga Serangkai,Kramat Jati,1.0,,"Makan di RM Tiga Serangkai disini hati² ya.... karena pada saat saya makan, saya menemukan belatung pada menu saksang. sbg bukti saya lampirkan video bisa di lihat pada menu saksang.",ChIJBdCfufjyaS4R1D3xo2v5IEU,negative
Kedai Lilie Singkawang,Tanah Abang,5.0,,"Top highlight: cabenya. Setiap menu dihidangkan dengan cabe merah, cabe hijau, dan tambahan cabe tomat kalau pesan ikan. Semua cabenya fresh dan wangi! Bumbu bakarannya manis + sedikit pedas.  Sayang karena datang Sabtu jam 7 malam, menu sudah pada habis, sisa ikan sama gorengan saja. Jalannya masuk gang ya, hanya bisa jalan kaki atau motor. Mobil baiknya parkir di PI, tinggal jalan kaki saja.  Pesan ikan gurame bakar, ayam bakar, ayam goreng, tahu + tempe goreng, nasi putih 1, air mineral 1 & S-Tee 1 total 99k.",ChIJPW_L7yD0aS4Rg5THfHxN7zQ,positive
